Data_Science,Date,Tweet
0,11/04/15,Oh... It is even worse... They are playing xmas carols!!! It hasn't even been Bonefire Night! Give it a rest!
1,11/12/13,RStudio OS X Mavericks Issues Resolved http://t.co/i7qAPuR8EN
0,02/03/14,A Hubble glitch has produced this stellar artwork http://t.co/IYnxU8FSVS
0,25/02/14,@kwbroman Good question. I've done separate-paper twice only & both times people seemed  surprised. But I was happy not carrying a tube
1,16/12/13,"Data and visualization year in review, 2013 http://t.co/NO7MVgMSpK"
1,13/11/13,A detailed guide to memory usage in R http://t.co/kxU5kS2sHw
0,19/08/15,Hawking's speech tech released #sciencenews  http://t.co/kKldTBi4nn
0,26/07/15,The Economist  Inside Silicon Valley: Empire of the #geeks http://t.co/3ANqNdHLx3 via @TheEconomist
0,16/12/13,Glass Trolling - xkcd http://t.co/8dEN1i8qRs
0,23/07/15,Obama urges UK to stay in the European Union http://t.co/ekZxZuOyXd
1,20/09/15,Those who rely on gut instinct or trivial analyses will be out-competed Interview with Jon Sedar by @springcoil http://t.co/tYbzWIY2R7
1,11/03/15,Data visualisation helps ground the discussion. @erichannell at #ODISummit https://t.co/dvqmj1v4Wo
0,25/11/15,"Waiting to come in to @sciencemuseum for Penrose's talk entitled ""Einstein's Amazing Theory of Gravity"" #geek :)"
0,14/09/15,I've had my last Martian potato http://t.co/h3J8u7QsSK
0,10/05/15,A team of engineers has built a quantum logic gate in silicon for the first time #physics http://t.co/YAT2LxP1GU
0,25/08/15,"Call me a geek, but this programme about Indian trains is great! #BBC2 - World's Busiest Railway 2015, Episode 2 http://t.co/w0foeIpyZ5"
1,12/08/15,#Scala tweeps: any preferences/recommendations for IDEs on a mac? Your help is much appreciated
0,25/10/15,Blimey! This is an intense match! #AUSvARG #RWC0215
0,13/12/15,#Peake's rocket arrives at launch pad  https://t.co/VX0qho8yMt
1,16/12/13,"Federal Judge Rules Against N.S.A. Phone Data Program, via @nytimes http://t.co/fk1hFOhP56"
0,12/09/15,@predef1 thanks!
0,08/05/15,Here Are the Winners of National Geographic's Traveler Photo Contest  http://t.co/I2De0fmYSV
0,04/02/14,@Chris_Jeffery and that wasn't Wimbledon Was it?
0,10/07/15,"#Nobel prize for chemistry: Lindahl, Modrich and Sancar win for DNA research http://t.co/YJ9EGZR9GM"
0,15/12/15,Star Wars: Their careers awaken https://t.co/1NZWKSHuua
1,12/03/13,At the #LondonR meeting. Andy South talking about the rworldmap package.
0,20/12/15,Carter wins Overseas Personality award #rugby  https://t.co/m6d4ntYPvl
0,17/12/15,Watch an Old Stormtrooper Transform into a New #Stormtrooper https://t.co/Iv5kHzNAkg
0,25/12/15,"""Carol singers will be criticised"" Great #DrWho"
0,21/11/15,A suitably cold afternoon to be at #Twickenham for the #Arg v #Baabaas #rugby match https://t.co/2MF3OYNZJd
0,18/09/15,A giant #rugby ball bursts through the wall of Cardiff Castle  #RWC2015 http://t.co/JilBajU2MJ
1,11/03/15,"Unlike in many other areas, data, as infrastucture is invisible... that does not mean it is less important to manage and maintain!..."
0,12/02/15,Online game reveals something fishy about mathematical models ;) https://t.co/VULxGvWUMV
1,26/03/14,"Graph models are good to: see interdependencies, how things flow, impact/risk analysis - @parry_joe #neo4j"
0,14/12/15,Cool! https://t.co/qEioorrRzN
0,19/11/15,All Blacks captain McCaw retires #rugby  https://t.co/HYP9jD9nXO
1,27/01/14,The rise of the jour no-programmer http://t.co/MBWmUu2UkC
1,11/03/15,Parliamentary Data Strategy - a parliamentary #OpenData platform #ODISummit https://t.co/FnLVnlaBkK
0,12/11/15,And I left my headphones at home!
0,25/11/15,"Scientists Analyzed Spiderweb DNA, and the Results Are Super Creepy https://t.co/lMmoZZSFXg"
0,13/03/14,Netflix replaces DVD rentals in Britain's inflation 'shopping basket' #inflation http://t.co/C4O3hgAcaj
0,10/06/15,#Laser-wielding physicists seize control of atoms' behaviour http://t.co/QHw5NXlkmn
0,25/11/15,@AndrewFyfe1 Sent it. Basically we are getting together on Friday for a beer near monument. Would be great to see you there.
0,18/09/15,Chicken dressed up like a dinosaur wins Ig Nobel award http://t.co/Hk2JeVu5Xg
0,25/11/15,This is what the spending review means for tech and science https://t.co/2tDi2LkTHX
1,29/04/14,Predict which shoppers will become repeat buyers http://t.co/Uwl3leXjnn
0,19/11/15,This is the biggest diamond found in more than 100 years https://t.co/pCSKtevIqy
0,15/12/15,LHC sees hint of #boson heavier than Higgs #sciencenews  https://t.co/DJE3M3enWf
0,28/11/15,Thinking of #xmas gifts? Why not a copy of Essential #Matlab and #Octave? Get a discount using this code: AKP28 here https://t.co/2AnIg3oJg1
1,30/11/15,Cross-Lingual Plagiarism with #scikit-learn #python https://t.co/V30RddExoZ
0,10/04/15,The Fact and Fiction of Martian Dust Storms http://t.co/yPBsrUgIz2
0,12/07/15,"@Dr_GHill @guardiantech actually @guardian has covered that: ""Is Android really free software?"" https://t.co/nymX2wN2MR"
1,11/10/13,Maximum Likelihood versus Goodness of Fit http://t.co/BcXP1NGKpu
0,09/10/15,Sick of memorizing passwords? A Turing Award winner came up with this algorithmic trick http://t.co/33rIiLFnyB
1,12/02/15,#ArtificialaIntelligence called in to tackle LHC data deluge https://t.co/GoGX3OkOVQ
0,02/10/14,The Internet Map http://t.co/pBiswSTjkq
1,29/09/13,"Think Like a Statistician. Save 50% on Statistics ebooks and better understand your world, statistically speaking. http://t.co/pqQqJxmVYF"
0,23/12/15,@DrDavidGK @yakinoriuk @GrandCentralBNS enjoy!
1,04/02/14,Why newsrooms are enlisting data scientists http://t.co/Rn3xNcWRKS
0,28/07/15,Concussion 'link to brain function' #rugby  http://t.co/WtwFTrKxiU
0,17/09/15,San Francisco housesitter rents out someone else's apartment on #Airbnb  Technology  The Guardian http://t.co/nyfZboKwru
1,30/11/15,"Sustained Innovation in Apache Spark: DataFrames, Spark SQL, and MLlib https://t.co/g8h5JQQrkS #datascience"
1,10/10/15,"And that is Chapter 3 of ""Data Science and Analytics with Python"" done... and moving on to the rest! Super chuffed! #BookWriting"
1,29/11/15,See sklearn trees with #D3 https://t.co/UYsi0Xbcbu
0,28/11/15,Carter up for Overseas Sports Personality of the Year #rugby  https://t.co/Lfnw5dqWYB
0,13/12/15,Sarries' Gustard 'offered England role' #rugby  https://t.co/ylLFranruc
1,01/04/16,"Hello tweeps, I will be running a #DataScience Bootcamp on 15th Jan with @ga_london https://t.co/3mbK2eb9CW"
0,30/12/15,My 2015 year in blogging https://t.co/4N4aZt4kJI https://t.co/7qllE0O0nf
0,18/12/13,It seems that twerking was indeed bigger than many other terms... @erichannell & colleagues were right!  http://t.co/jSLFbJ5ZbN
1,29/10/13,Using data science tools to discover new nanostructured materials http://t.co/n4tp3QtkTp
0,14/12/13,Success rates for EPSRC proposals http://t.co/oAObWHT4gF
0,21/09/15,"Amazing programme- Countdown to Life: The Extraordinary Making of You, Against the Odds #BBC2HD http://t.co/jJNlQP1zKN"
0,11/05/13,"Twitter hit with IBM patent attack, raises share price estimate anyway http://t.co/ODPXwkbhxV"
0,23/12/13,Google takes a bite out of the Apple #infographic http://t.co/h3uRnUxxoY http://t.co/X2kk7jqheO Great to see this out there @erichannell
0,12/06/15,Gaming technology helps create better X-rays #physicsblogs https://t.co/G4iD5Xf2aE
